x y
1 1.663160
2 1.654808
4 1.630236
8 1.640896
16 1.638308
32 1.627260
64 1.631492
128 1.631216
256 1.639604
512 1.663500
1024 1.692916
2048 1.903404
4096 2.772944
8192 2.857296
16384 2.762924
32768 2.398784
