x y
1 0.094980
2 0.152132
4 0.207388
8 0.382676
16 0.802896
32 1.792544
64 5.755200
128 18.576744
256 63.339396
512 232.677440
1024 860.493368
2048 3424.499868
4096 14089.915768
8192 55841.868040
16384 235550.930468
32768 936584.246584
