x y
2 3.476000
4 0.218000
8 0.274000
16 0.485000
32 0.626000
64 1.161000
128 2.260000
256 4.320000
512 7.648000
1024 16.555000
2048 32.524000
4096 63.087000
8192 124.187000
16384 199.885000
32768 405.927000
65536 793.487000
131072 1686.287000
262144 3330.414000
524288 6485.625000
1048576 12816.852000
2097152 25700.866000
4194304 52046.591000
8388608 104430.209000
16777216 205723.516000
33554432 762383.533000
67108864 1477698.837000
