x y
4 63.000000
8 88.000000
16 130.000000
32 126.000000
64 128.000000
128 132.000000
256 252.000000
512 355.000000
1024 352.000000
2048 656.000000
4096 1171.000000
8192 2813.000000
16384 7294.000000
32768 22264.000000
65536 39217.000000
131072 39393.000000
262144 64096.000000
524288 466161.000000
1048576 706980.000000
2097152 2400083.000000
4194304 4725010.000000
8388608 770059.000000
16777216 14266510.000000
33554432 30809301.000000
67108864 294342889.000000
