x y
4 0.033000
8 0.009000
16 0.114000
32 0.233000
64 1.461000
128 8.118000
256 31.118000
512 149.392000
1024 617.199000
2048 2502.728000
4096 7734.281000
8192 33720.621000
16384 141345.695000
32768 529338.794000
65536 2003717.863000
