x y
4 0.251000
8 0.731000
16 1.723000
32 3.471000
64 20.860000
128 15.195000
256 33.694000
512 54.034000
1024 147.278000
2048 672.700000
4096 550.761000
8192 1095.129000
16384 2261.001000
32768 4804.580000
65536 10288.000000
