x y
10 6.000000
20 9.843000
40 0.098000
80 48.070000
160 139.702000
320 145.084000
640 287.751000
1280 675.509000
2560 1067.344000
5120 2043.061000
10240 4081.538000
20480 8212.687000
40960 18072.035000
81920 39912.181000
163840 77231.330000
327680 150628.388000
655360 367238.905000
1310720 901787.349000
2621440 1832657.281000
5242880 3791176.357000
